halId_s,hal_uri,hal_title,hal_docType,publication_doi,source_field,expected_field,field_ok,misfiled_dataset_link,related_raw,related_kind,dataset_doi,repository,object_kind,publisher,landing_url,landing_host,doi_prefix,datacite_client,dataset_title,resolve_error,correction_note
emse-03107652,https://hal-emse.ccsd.cnrs.fr/emse-03107652v1,ICTAC Kinetics Committee recommendations for analysis of multi-step kinetic,ART,,relatedPublication_s,relatedData_s,False,False,10.1016/j.tca.2020.178597,doi,10.1016/j.tca.2020.178597,Journal DOI (10.1016),publication_landing,,,,,,,not_found,
emse-03107652,https://hal-emse.ccsd.cnrs.fr/emse-03107652v1,ICTAC Kinetics Committee recommendations for analysis of multi-step kinetic,ART,,seeAlso_s,relatedData_s,False,False,https://www.mines-stetienne.fr/spin/,url,,,,,,,,,,,
hal-00519298,https://hal.science/hal-00519298v1,"Multi-scale modeling of VLF/LF antennas with an arbitrarily oriented thin wire TLM node integrating lumped component Special Session on ""Multiscale Modeling in Antenna Design",COMM,10.1109/ICWITS.2010.5611891,relatedPublication_s,relatedData_s,False,False,10.1109/ICWITS.2010.5611891,doi,10.1109/ICWITS.2010.5611891,Journal DOI (10.1109),publication_landing,,,,,,,not_found,
hal-00661601,https://hal.science/hal-00661601v1,Frequency reconfigurable antenna for DVB-H applications,ART,,relatedPublication_s,relatedData_s,False,False,10.1002/mop.26160,doi,10.1002/mop.26160,Journal DOI (10.1002),publication_landing,,,,,,,not_found,
hal-00764437,https://hal.science/hal-00764437v1,An Efficient Mobility Management Approach For IEEE 802.15.4/ZigBee Nodes,COMM,,relatedPublication_s,relatedData_s,False,False,10.1109/HPCC.2012.128,doi,10.1109/HPCC.2012.128,Journal DOI (10.1109),publication_landing,,,,,,,not_found,
hal-00858579,https://hal.science/hal-00858579v2,"Bioreactor shape optimisation. Modeling, simulation, and shape optimization of a simple bioreactor for water treatment",COMM,,relatedPublication_s,relatedData_s,False,False,10.13140/2.1.3009.6009,doi,10.13140/2.1.3009.6009,ResearchGate,publication_landing,Unpublished,https://www.researchgate.net/doi/10.13140/2.1.3009.6009,researchgate.net,10.13140,rg.rg,"Bioreactor shape optimization Modeling, simulation, and shape optimization of a simple bioreactor for water treatment",,
hal-00858579,https://hal.science/hal-00858579v2,"Bioreactor shape optimisation. Modeling, simulation, and shape optimization of a simple bioreactor for water treatment",COMM,,seeAlso_s,relatedData_s,False,False,https://archives-publications.inrae.fr/42975.pdf,url,,,,,,,,,,,
hal-00874602,https://hal.science/hal-00874602v1,Travelling waves for the Nonlinear Schrödinger Equation with nonzero condition at infinity.,ART,,relatedPublication_s,relatedData_s,False,False,10.1007/s00205-017-1131-2,doi,10.1007/s00205-017-1131-2,Journal DOI (10.1007),publication_landing,,,,,,,not_found,
hal-00982502,https://hal.science/hal-00982502v1,Dual-wideband radiating element for mobile handsets,ART,,relatedPublication_s,relatedData_s,False,False,10.1002/mop.11193,doi,10.1002/mop.11193,Journal DOI (10.1002),publication_landing,,,,,,,not_found,
hal-00982508,https://hal.science/hal-00982508v1,Bifrequency behaviour and bandwidth enhancement of a dielectric resonator antenna,ART,,relatedPublication_s,relatedData_s,False,False,10.1002/mop.20327,doi,10.1002/mop.20327,Journal DOI (10.1002),publication_landing,,,,,,,not_found,
hal-01071306,https://inria.hal.science/hal-01071306v1,"Proceedings of the 5th ACM Web Science Conference, 2013 Paris, France, WebSci '13",OUV,,relatedPublication_s,relatedData_s,False,False,10.1145/2464464,doi,10.1145/2464464,Journal DOI (10.1145),publication_landing,,,,,,,not_found,
hal-01071306,https://inria.hal.science/hal-01071306v1,"Proceedings of the 5th ACM Web Science Conference, 2013 Paris, France, WebSci '13",OUV,,seeAlso_s,relatedData_s,False,False,http://dl.acm.org/citation.cfm?id=2464464,url,,,,,,,,,,,
hal-01121413,https://hal.science/hal-01121413v2,"ARCWISE ANALYTIC STRATIFICATION, WHITNEY FIBERING CONJECTURE AND ZARISKI EQUISINGULARITY",ART,,relatedPublication_s,relatedData_s,False,False,10.1016/j.aim.2017.01.016,doi,10.1016/j.aim.2017.01.016,Journal DOI (10.1016),publication_landing,,,,,,,not_found,
hal-01121413,https://hal.science/hal-01121413v2,"ARCWISE ANALYTIC STRATIFICATION, WHITNEY FIBERING CONJECTURE AND ZARISKI EQUISINGULARITY",ART,,seeAlso_s,relatedData_s,False,False,https://doi.org/10.1016/j.aim.2017.01.016,doi,10.1016/j.aim.2017.01.016,Journal DOI (10.1016),publication_landing,,,,,,,not_found,
hal-01171167,https://hal.science/hal-01171167v1,NONLINEAR PRECONDITIONING: HOW TO USE A NONLINEAR SCHWARZ METHOD TO PRECONDITION NEWTON'S METHOD,ART,,relatedPublication_s,relatedData_s,False,False,10.1137/15M102887X,doi,10.1137/15M102887X,Journal DOI (10.1137),publication_landing,,,,,,,not_found,
