halId_s,uri_s,title_s,doiId_s,code_repositories,swhids,swh_browse_urls,related_publications,programming_languages,hal_file
hal-03938534,https://inria.hal.science/hal-03938534v1,2D Generalized Barycentric Coordinates,,https://github.com/CGAL/cgal/tree/master/Barycentric_coordinates_2,swh:1:dir:695cebe5d4ab078642bb746399b7372b62d9dc77;origin=https://github.com/CGAL/cgal;visit=swh:1:snp:08830c7520f20568b2ce9e0b4b05ce76c9012817;anchor=swh:1:rev:1d6830501d42d6f464779ea632f0944a424560f5;path=/Barycentric_coordinates_2/,https://archive.softwareheritage.org/browse/swh:1:dir:695cebe5d4ab078642bb746399b7372b62d9dc77,,,
hal-03445937,https://hal.science/hal-03445937v1,A C++ implementation of a O(n log n) algorithm computing a maximal stable set of an interval graph,,,swh:1:dir:95986a410683154bc0c9d55a2331839b74993c3d;origin=https://hal.archives-ouvertes.fr/hal-03445937;visit=swh:1:snp:63bdc74d56c678b7fa433ed87f0a4654050d02a3;anchor=swh:1:rel:9906213d31fdd2ce4d04d281a9b47747038836f1;path=/,https://archive.softwareheritage.org/browse/swh:1:dir:95986a410683154bc0c9d55a2331839b74993c3d,,,https://hal.science/hal-03445937/document
hal-03445804,https://hal.science/hal-03445804v1,A C-library for Register Pressure Reduction in Data Dependence Graphs.,,,swh:1:dir:0b9ea5cf3f444bf0920d99d5df58af2b6b484133;origin=https://hal.archives-ouvertes.fr/hal-03445804;visit=swh:1:snp:dc58dc9c3866979847adb3ee5202b8e14ac7b9cd;anchor=swh:1:rel:b0827bb530d7e2258121543e63e06de4b2c640c0;path=/,https://archive.softwareheritage.org/browse/swh:1:dir:0b9ea5cf3f444bf0920d99d5df58af2b6b484133,hal-00130623 | 10.1007/s10878-010-9332-8,C,https://hal.science/hal-03445804/document
hal-03445821,https://hal.science/hal-03445821v1,A C-library for Register Saturation Computation,,,swh:1:dir:353f14fe73608aeb968e1b7d961293c4292bcc91;origin=https://hal.archives-ouvertes.fr/hal-03445821;visit=swh:1:snp:f19987035256ae2536dabfadf31f38afa689e5d7;anchor=swh:1:rel:20809d0c43faec53646297b5271a12e9beec8f24;path=/,https://archive.softwareheritage.org/browse/swh:1:dir:353f14fe73608aeb968e1b7d961293c4292bcc91,10.1007/s10766-005-6466-x,C,https://hal.science/hal-03445821/document
hal-04389908,https://hal.science/hal-04389908v1,AADAGE (Automorphism Aware Directed Attributed Graph Explorer),,,swh:1:dir:9ff7bcc1a4d6b5335df7726904172da77d7538f3;origin=https://hal.archives-ouvertes.fr/hal-04389908;visit=swh:1:snp:87d7a5b0f95ea9cac0409bc35f73e2ba3fcc226e;anchor=swh:1:rel:f10c80b6e722cc26ff4f09cf5877f4c6758b456c;path=/,https://archive.softwareheritage.org/browse/swh:1:dir:9ff7bcc1a4d6b5335df7726904172da77d7538f3,hal-01311684 | 10.1007/s10115-016-0953-9,C++,https://hal.science/hal-04389908/document
hal-04481411,https://hal.inrae.fr/hal-04481411v4,airGRdatasets: Hydro-Meteorological Catchments Datasets for the 'airGR' Packages. R package version 0.2.3,10.32614/CRAN.package.airGRdatasets,https://gitlab.irstea.fr/HYCAR-Hydro/airgrgalaxy/airgrdatasets,swh:1:dir:b047cd45ee4f9346a6fa7338c8d7ec230825143d;origin=https://cran.r-project.org/package%253DairGRdatasets;visit=swh:1:snp:c09c87412da9be257d813ea1173036ec6181d5d3;anchor=swh:1:rel:a68ddd145c52c5f9de5771dde91cecd942aecee9;path=/airGRdatasets/,https://archive.softwareheritage.org/browse/swh:1:dir:b047cd45ee4f9346a6fa7338c8d7ec230825143d,hal-04162960,R,
hal-04412872,https://hal.inrae.fr/hal-04412872v15,airGRteaching: Teaching Hydrological Modelling with the GR Rainfall-Runoff Models ('Shiny' Interface Included). R package version 0.3.3,,https://gitlab.irstea.fr/HYCAR-Hydro/airgrteaching,swh:1:dir:6e59bda8283ea05228d81c884933d1df7e9574d1;origin=https://cran.r-project.org/package%253DairGRteaching;visit=swh:1:snp:c2eccf233a8b854f85cc5c72a5f7527eb954ae5b;anchor=swh:1:rel:7e8c0045edeb6f8e72495e4b334e4daa187a948d;path=/airGRteaching/,https://archive.softwareheritage.org/browse/swh:1:dir:6e59bda8283ea05228d81c884933d1df7e9574d1,10.5194/hess-27-3293-2023 | hal-04162971,R,
hal-04384216,https://hal.science/hal-04384216v2,AMINE (A network embedding approach to identify active modules in biological interaction networks),,https://github.com/claudePasquier/amine,swh:1:dir:1984065468d18ecfa775fe244cae1af3b2e25a0d;origin=https://hal.archives-ouvertes.fr/hal-04384216;visit=swh:1:snp:685a9812e6e095cbd0c98e24dbc0e783cf23c78c;anchor=swh:1:rel:50f9f5c44be838e346b02af162f317d93c5a2045;path=/,https://archive.softwareheritage.org/browse/swh:1:dir:1984065468d18ecfa775fe244cae1af3b2e25a0d,10.26508/lsa.202201550 | hal-04135439v1,Python 3;Django,https://hal.science/hal-04384216/document
hal-02902346,https://hal.science/hal-02902346v1,BifurcationKit.jl,,https://github.com/rveltz/BifurcationKit.jl,swh:1:dir:257669cd4bf202bc8393a4efa22bfe5f6f517b03;origin=https://hal.archives-ouvertes.fr/hal-02902346;visit=swh:1:snp:73c1c5e9525b1b9b09b8a79ca056057fcb26b8a9;anchor=swh:1:rev:31bea805201b64435aa28e4d036e156ab189c3d5;path=/,https://archive.softwareheritage.org/browse/swh:1:dir:257669cd4bf202bc8393a4efa22bfe5f6f517b03,,Julia,https://hal.science/hal-02902346/document
hal-04567259,https://hal.science/hal-04567259v1,CALCEPH: Planetary ephemeris files access code,,https://gitlab.obspm.fr/imcce_calceph/calceph,swh:1:dir:38e5394c3e37c36b05eb970518abf71f0ca09b38;origin=https://hal.archives-ouvertes.fr/hal-04567259;visit=swh:1:snp:dbb2b731f4ae5fec54d4268613abf008aaa1d28d;anchor=swh:1:rel:1ff3457a4df5da20c7baaed5a8f109eacb121c27;path=/,https://archive.softwareheritage.org/browse/swh:1:dir:38e5394c3e37c36b05eb970518abf71f0ca09b38,,C | Python | Fortran,https://hal.science/hal-04567259/document
