doi,title,repository,publisher,landing_url,commons_url,client_id,publication_year,also_on_hal,hal_publications,hal_ids,match_reasons,object_kind
10.15454/zzwqmn,Classification statistique des vignobles de Côte d'Or,Recherche Data Gouv,Portail Data INRAE,https://data.inrae.fr/citation?persistentId=doi:10.15454/ZZWQMN,https://commons.datacite.org/doi.org/10.15454/zzwqmn,rdg.prod,2019,False,0,,,dataset_repo
10.15468/462jm4,"Diversity of coastal benthic invertebrates from Possession Island (Crozet archipelago, Southern Ocean)",Université Bourgogne Europe,Université Bourgogne Europe,https://www.gbif.org/dataset/abf2419c-d2af-4367-851b-fe84455e247a,https://commons.datacite.org/doi.org/10.15468/462jm4,gbif.gbif,2026,False,0,,creator_name|contributor_name,other
10.15468/4wnbw3,"Amber and plants from the Upper Cretaceous of La Gripperie-Saint-Symphorien (Charente-Maritime, Western France)",Catalogue of Life,Catalogue of Life,https://www.gbif.org/dataset/1b7a95f9-416b-4eb6-b480-3eafa08bdadb,https://commons.datacite.org/doi.org/10.15468/4wnbw3,gbif.gbif,2025,False,0,,,other
10.15468/56bv6z,The Belgica 121 expedition to the Western Antarctic Peninsula: a high resolution biodiversity census,SCAR - AntOBIS,SCAR - AntOBIS,https://www.gbif.org/dataset/b635be2e-76ea-4600-8f83-549601653c0a,https://commons.datacite.org/doi.org/10.15468/56bv6z,gbif.gbif,2022,False,0,,,other
10.15468/dsacsj,Distribution and Occurrences of Laevilitorina across the Southern Hemisphere,Instituto de Biodiversidad de Ecosistemas Antárticos y Subantárticos (BASE),Instituto de Biodiversidad de Ecosistemas Antárticos y Subantárticos (BASE),https://www.gbif.org/dataset/cd023c5e-8729-41b2-b9df-1419289c0e40,https://commons.datacite.org/doi.org/10.15468/dsacsj,gbif.gbif,2022,False,0,,contributor_name,other
10.15468/dv9e2m,"Re-appraisal of thylacocephalans (Euarthropoda, Thylacocephala) from the Jurassic La Voulte-sur-Rhône Lagerstätte",Catalogue of Life,Catalogue of Life,https://www.gbif.org/dataset/c9f33a4b-42c3-415f-acb3-340f3c27db1c,https://commons.datacite.org/doi.org/10.15468/dv9e2m,gbif.gbif,2025,False,0,,,other
10.15468/gvgi04,hauterivian_echinoids_of_the_paris_basin,ZooKeys,ZooKeys,https://www.gbif.org/dataset/98442b0b-9f7b-4924-9289-5b793946ca01,https://commons.datacite.org/doi.org/10.15468/gvgi04,gbif.gbif,2013,False,0,,creator_name|contributor_name,other
10.15468/kn5xcg,Occurrences of aquatic invertebrates in the Antarctic and Subantarctic regions,Instituto de Biodiversidad de Ecosistemas Antárticos y Subantárticos (BASE),Instituto de Biodiversidad de Ecosistemas Antárticos y Subantárticos (BASE),https://www.gbif.org/dataset/1eb4dc17-46f3-465e-9846-94e70d15ff78,https://commons.datacite.org/doi.org/10.15468/kn5xcg,gbif.gbif,2023,False,0,,contributor_name,other
10.15468/qnqnn2,Records of Halicarcinus planatus at sub-Antarctic regions,Universidad de Magallanes,Universidad de Magallanes,https://www.gbif.org/dataset/75a6f6f1-de60-4ec6-8830-2766719231e7,https://commons.datacite.org/doi.org/10.15468/qnqnn2,gbif.gbif,2021,False,0,,,other
10.15468/xkthja,Harpagifer of the Southern Ocean,Instituto de Ecología y Biodiversidad,Instituto de Ecología y Biodiversidad,https://www.gbif.org/dataset/ef2497c9-3b6b-4468-905d-430c87bd45ca,https://commons.datacite.org/doi.org/10.15468/xkthja,gbif.gbif,2020,False,0,,,other
10.15468/ylw4wt,Antarctic Echinoids: an interactive database,SCAR - AntOBIS,SCAR - AntOBIS,https://www.gbif.org/dataset/890d62e2-f762-11e1-a439-00145eb45e9a,https://commons.datacite.org/doi.org/10.15468/ylw4wt,gbif.gbif,2019,False,0,,,other
10.17630/b9b0eaac-bd76-4ac9-8455-af7c1b735de1,Dataset for Thermoelectric properties of the aliovalent half-Heusler alloy Zn0.5Ti0.5NiSb with intrinsic low thermal conductivity,University of St Andrews,University of St Andrews,https://research-portal.st-andrews.ac.uk/en/datasets/b9b0eaac-bd76-4ac9-8455-af7c1b735de1,https://commons.datacite.org/doi.org/10.17630/b9b0eaac-bd76-4ac9-8455-af7c1b735de1,bl.standrew,2023,False,0,,creator_name,other
10.17632/4c8dhj9xbp,Margouillat Survey,Mendeley Data,Mendeley Data,https://data.mendeley.com/datasets/4c8dhj9xbp,https://commons.datacite.org/doi.org/10.17632/4c8dhj9xbp,bl.mendeley,2024,False,0,,,dataset_repo
10.17632/4c8dhj9xbp.1,Margouillat Survey,Mendeley Data,Mendeley Data,https://data.mendeley.com/datasets/4c8dhj9xbp/1,https://commons.datacite.org/doi.org/10.17632/4c8dhj9xbp.1,bl.mendeley,2033,False,0,,,dataset_repo
10.17632/4c8dhj9xbp.2,Margouillat Survey,Mendeley Data,Mendeley Data,https://data.mendeley.com/datasets/4c8dhj9xbp/2,https://commons.datacite.org/doi.org/10.17632/4c8dhj9xbp.2,bl.mendeley,2024,False,0,,,dataset_repo
10.17632/9fbyt7rd8m,Candida albicans releases a peptide from the Rbt1 protein to promote its invasion into the gut epithelium.,Mendeley Data,Mendeley Data,https://data.mendeley.com/datasets/9fbyt7rd8m,https://commons.datacite.org/doi.org/10.17632/9fbyt7rd8m,bl.mendeley,2025,False,0,,creator_name,dataset_repo
10.17632/9fbyt7rd8m.1,Candida albicans releases a peptide from the Rbt1 protein to promote its invasion into the gut epithelium.,Mendeley Data,Mendeley Data,https://data.mendeley.com/datasets/9fbyt7rd8m/1,https://commons.datacite.org/doi.org/10.17632/9fbyt7rd8m.1,bl.mendeley,2025,False,0,,creator_name,dataset_repo
10.17632/bcwm4wjzj9,Molecular Dynamics Simulations of 2D-layered Graphene Sheets with Tandem Repeat Proteins,Mendeley Data,Mendeley Data,https://data.mendeley.com/datasets/bcwm4wjzj9,https://commons.datacite.org/doi.org/10.17632/bcwm4wjzj9,bl.mendeley,2024,False,0,,contributor_name,dataset_repo
10.17632/bcwm4wjzj9.1,Molecular Dynamics Simulations of 2D-layered Graphene Sheets with Tandem Repeat Proteins,Mendeley Data,Mendeley Data,https://data.mendeley.com/datasets/bcwm4wjzj9/1,https://commons.datacite.org/doi.org/10.17632/bcwm4wjzj9.1,bl.mendeley,2024,False,0,,contributor_name,dataset_repo
10.17632/gy6xh94yjp,"Behavioural and physiological alteration in gammarids infected with a bird acanthocephalan, following the selective killing of parasite inside its intermediate host",Mendeley Data,Mendeley Data,https://data.mendeley.com/datasets/gy6xh94yjp,https://commons.datacite.org/doi.org/10.17632/gy6xh94yjp,bl.mendeley,2025,False,0,,creator_name,dataset_repo
10.17632/gy6xh94yjp.1,"Behavioural and physiological alteration in gammarids infected with a bird acanthocephalan, following the selective killing of parasite inside its intermediate host",Mendeley Data,Mendeley Data,https://data.mendeley.com/datasets/gy6xh94yjp/1,https://commons.datacite.org/doi.org/10.17632/gy6xh94yjp.1,bl.mendeley,2025,False,0,,creator_name,dataset_repo
10.17632/js54zd2sxr,Serpentine moths and plants,Mendeley Data,Mendeley Data,https://data.mendeley.com/datasets/js54zd2sxr,https://commons.datacite.org/doi.org/10.17632/js54zd2sxr,bl.mendeley,2024,False,0,,contributor_name,dataset_repo
10.17632/js54zd2sxr.1,Serpentine moths and plants,Mendeley Data,Mendeley Data,https://data.mendeley.com/datasets/js54zd2sxr/1,https://commons.datacite.org/doi.org/10.17632/js54zd2sxr.1,bl.mendeley,2024,False,0,,contributor_name,dataset_repo
10.17632/pjg3v6chwg,Multistress Gammarus fossarum,Mendeley Data,Mendeley Data,https://data.mendeley.com/datasets/pjg3v6chwg,https://commons.datacite.org/doi.org/10.17632/pjg3v6chwg,bl.mendeley,2025,False,0,,creator_name,dataset_repo
10.17632/pjg3v6chwg.1,Multistress Gammarus fossarum,Mendeley Data,Mendeley Data,https://data.mendeley.com/datasets/pjg3v6chwg/1,https://commons.datacite.org/doi.org/10.17632/pjg3v6chwg.1,bl.mendeley,2025,False,0,,creator_name,dataset_repo
10.17632/s3jmtty2dd,Contrasting alterations in brain chemistry in a crustacean intermediate host of two acanthocephalan parasites,Mendeley Data,Mendeley Data,https://data.mendeley.com/datasets/s3jmtty2dd,https://commons.datacite.org/doi.org/10.17632/s3jmtty2dd,bl.mendeley,2024,False,0,,creator_name,dataset_repo
