dataset_doi,repository,landing_url,landing_host,dataset_title,retrieved_at,hal_modified_at,source_fields,has_misfiled_source,halId_s,hal_uri,hal_title,hal_docType,publication_doi,producedDateY_i,laboratories,source_field,field_ok,misfiled_dataset_link
10.17632/f9wtj7s9b8.1,Mendeley Data,https://data.mendeley.com/datasets/f9wtj7s9b8/1,data.mendeley.com,A dataset on the sensory and affective perception of Bordeaux and Rioja red wines collected from French and Spanish consumers at home and international wine students in the lab.,2026-09-24T03:31:21Z,2026-09-24T03:31:21Z,relatedData_s,False,hal-03985366,https://hal.inrae.fr/hal-03985366v1,A dataset on the sensory and affective perception of Bordeaux and Rioja red wines collected from French and Spanish consumers at home and international wine students in the lab,ART,10.1016/j.dib.2022.108873,2023,CSGA | UB | CNRS | INRAE | Institut Agro | CEREN | BSB | BSE | LabPsy,relatedData_s,True,False
10.57745/GA5R6S,Recherche Data Gouv,https://entrepot.recherche.data.gouv.fr/citation?persistentId=doi:10.57745/GA5R6S,entrepot.recherche.data.gouv.fr,A dataset of perception and preferences of French consumers for commercial cooked hams sampled according to their nutritional values and claims.,2026-09-23T08:54:28Z,2026-09-23T08:54:28Z,relatedData_s,False,hal-03426763,https://hal.inrae.fr/hal-03426763v1,Identifying drivers of liking and characterizing the ideal product thanks to Free-Comment,ART,10.1016/j.foodqual.2021.104389,2022,CSGA | UB | CNRS | INRAE | Institut Agro | UBFC,relatedData_s,True,False
10.57745/GA5R6S,Recherche Data Gouv,https://entrepot.recherche.data.gouv.fr/citation?persistentId=doi:10.57745/GA5R6S,entrepot.recherche.data.gouv.fr,A dataset of perception and preferences of French consumers for commercial cooked hams sampled according to their nutritional values and claims.,2026-09-23T08:54:28Z,2026-09-23T08:54:28Z,relatedData_s,False,hal-04593965,https://hal.inrae.fr/hal-04593965v1,A dataset of perception and preferences of French consumers for commercial cooked hams sampled according to their nutritional values and claims,ART,10.1016/j.dib.2024.110549,2024,CSGA | UB | CNRS | INRAE | Institut Agro | Oniris VetAgroBio | StatSC,relatedData_s,True,False
10.57745/B35XCS,Recherche Data Gouv,https://entrepot.recherche.data.gouv.fr/citation?persistentId=doi:10.57745/B35XCS,entrepot.recherche.data.gouv.fr,Template to share sensory evaluation data,2026-09-23T08:48:09Z,2026-09-23T08:48:09Z,relatedData_s,False,hal-03887946,https://hal.inrae.fr/hal-03887946v1,First steps towards FAIRization of product-focused sensory data,ART,10.1016/j.foodqual.2022.104765,2023,CSGA | UB | CNRS | INRAE | Institut Agro | UBFC | Oniris VetAgroBio | BIA,relatedData_s,True,False
10.15454/HYRVUH,Recherche Data Gouv,https://entrepot.recherche.data.gouv.fr/citation?persistentId=doi:10.15454/HYRVUH,entrepot.recherche.data.gouv.fr,Rsyst::diatom_rbcl_align_312bp database: a database adapted to DNA metabarcoding (version v7: 23-02-2018),2026-09-23T08:46:54Z,2026-09-23T08:46:54Z,relatedData_s,False,hal-03158319,https://hal.science/hal-03158319v1,A next-generation of biomonitoring to detect global ecosystem change,OUV,10.3389/978-2-88966-027-8,2020,UB | UBFC | INRAE | UdeS | BioGeCo | MIA-Paris | INRA,relatedData_s,True,False
10.15454/HYRVUH,Recherche Data Gouv,https://entrepot.recherche.data.gouv.fr/citation?persistentId=doi:10.15454/HYRVUH,entrepot.recherche.data.gouv.fr,Rsyst::diatom_rbcl_align_312bp database: a database adapted to DNA metabarcoding (version v7: 23-02-2018),2026-09-23T08:46:54Z,2026-09-23T08:46:54Z,relatedData_s,False,hal-03534007,https://hal.inrae.fr/hal-03534007v1,Key questions for next-generation of biomonitoring,COUV,10.3389/978-2-88966-027-8,2020,UB | UBFC | INRAE | ECCC | CARRTEL | USMB [Université de Savoie] [Université de Chambéry] | Fédération OSUG | IGEPP | UR | Institut Agro,relatedData_s,True,False
10.15454/XETXQU,Recherche Data Gouv,https://data.inrae.fr/citation?persistentId=doi:10.15454/XETXQU,data.inrae.fr,Hypothalamic and caecal microbiota and metabolomic data,2026-09-23T08:46:11Z,2026-09-23T08:46:11Z,relatedData_s,False,hal-03171983,https://hal.science/hal-03171983v1,Dietary switch to Western diet induces hypothalamic adaptation associated with gut microbiota dysbiosis in rats,ART,10.1038/s41366-021-00796-4,2021,NuMeCan | UR | INSERM | INRAE | TENS | UFR MEDECINE | UN | UNH | UCA | MICALIS,relatedData_s,True,False
10.15454/W6BAUG,Portail Data Inra,https://data.inra.fr/citation?persistentId=doi:10.15454/W6BAUG,data.inra.fr,Agronomy and Grain-Legumes WoS DataSet 1980-2018,2026-09-23T08:42:34Z,2026-09-23T08:42:34Z,relatedData_s,False,hal-02416411,https://hal.science/hal-02416411v1,Peer-Reviewed Literature on Grain Legume Species in the WoS (1980–2018): A Comparative Analysis of Soybean and Pulses,ART,10.3390/su11236833,2019,AGIR | INRA | Toulouse INP | Comue de Toulouse | IRIT-IRIS | IRIT | UT Capitole | UT2J | UT3 | CNRS,relatedData_s,True,False
10.15454/VP7PRI,Portail Data Inra,https://data.inra.fr/citation?persistentId=doi:10.15454/VP7PRI,data.inra.fr,Processing and Grain-Legumes WoS DataSet 1980-2018,2026-09-23T08:42:34Z,2026-09-23T08:42:34Z,relatedData_s,False,hal-02416411,https://hal.science/hal-02416411v1,Peer-Reviewed Literature on Grain Legume Species in the WoS (1980–2018): A Comparative Analysis of Soybean and Pulses,ART,10.3390/su11236833,2019,AGIR | INRA | Toulouse INP | Comue de Toulouse | IRIT-IRIS | IRIT | UT Capitole | UT2J | UT3 | CNRS,relatedData_s,True,False
10.15454/QBQFCX,Portail Data Inra,https://data.inra.fr/citation?persistentId=doi:10.15454/QBQFCX,data.inra.fr,Grain-Legumes Species WoS DataSet 1980-2018,2026-09-23T08:42:34Z,2026-09-23T08:42:34Z,relatedData_s,False,hal-02416411,https://hal.science/hal-02416411v1,Peer-Reviewed Literature on Grain Legume Species in the WoS (1980–2018): A Comparative Analysis of Soybean and Pulses,ART,10.3390/su11236833,2019,AGIR | INRA | Toulouse INP | Comue de Toulouse | IRIT-IRIS | IRIT | UT Capitole | UT2J | UT3 | CNRS,relatedData_s,True,False
10.15454/PFV9JK,Portail Data Inra,https://data.inra.fr/citation?persistentId=doi:10.15454/PFV9JK,data.inra.fr,Genetics and Grain-Legumes WoS DataSet 1980-2018,2026-09-23T08:42:34Z,2026-09-23T08:42:34Z,relatedData_s,False,hal-02416411,https://hal.science/hal-02416411v1,Peer-Reviewed Literature on Grain Legume Species in the WoS (1980–2018): A Comparative Analysis of Soybean and Pulses,ART,10.3390/su11236833,2019,AGIR | INRA | Toulouse INP | Comue de Toulouse | IRIT-IRIS | IRIT | UT Capitole | UT2J | UT3 | CNRS,relatedData_s,True,False
10.15454/PDXRYM,Portail Data Inra,https://data.inra.fr/citation?persistentId=doi:10.15454/PDXRYM,data.inra.fr,Acceptability and Grain-Legumes WoS DataSet 1980-2018,2026-09-23T08:42:34Z,2026-09-23T08:42:34Z,relatedData_s,False,hal-02416411,https://hal.science/hal-02416411v1,Peer-Reviewed Literature on Grain Legume Species in the WoS (1980–2018): A Comparative Analysis of Soybean and Pulses,ART,10.3390/su11236833,2019,AGIR | INRA | Toulouse INP | Comue de Toulouse | IRIT-IRIS | IRIT | UT Capitole | UT2J | UT3 | CNRS,relatedData_s,True,False
10.15454/L79X2K,Portail Data Inra,https://data.inra.fr/citation?persistentId=doi:10.15454/L79X2K,data.inra.fr,Biotic Stress and Grain-Legumes WoS DataSet 1980-2018,2026-09-23T08:42:34Z,2026-09-23T08:42:34Z,relatedData_s,False,hal-02416411,https://hal.science/hal-02416411v1,Peer-Reviewed Literature on Grain Legume Species in the WoS (1980–2018): A Comparative Analysis of Soybean and Pulses,ART,10.3390/su11236833,2019,AGIR | INRA | Toulouse INP | Comue de Toulouse | IRIT-IRIS | IRIT | UT Capitole | UT2J | UT3 | CNRS,relatedData_s,True,False
10.15454/JNIPX5,Portail Data Inra,https://data.inra.fr/citation?persistentId=doi:10.15454/JNIPX5,data.inra.fr,Socioeconomics and Grain-Legumes WoS DataSet 1980-2018,2026-09-23T08:42:34Z,2026-09-23T08:42:34Z,relatedData_s,False,hal-02416411,https://hal.science/hal-02416411v1,Peer-Reviewed Literature on Grain Legume Species in the WoS (1980–2018): A Comparative Analysis of Soybean and Pulses,ART,10.3390/su11236833,2019,AGIR | INRA | Toulouse INP | Comue de Toulouse | IRIT-IRIS | IRIT | UT Capitole | UT2J | UT3 | CNRS,relatedData_s,True,False
10.15454/F0CNNS,Portail Data Inra,https://data.inra.fr/citation?persistentId=doi:10.15454/F0CNNS,data.inra.fr,Ecophysiology and Grain-Legumes WoS DataSet 1980-2018,2026-09-23T08:42:34Z,2026-09-23T08:42:34Z,relatedData_s,False,hal-02416411,https://hal.science/hal-02416411v1,Peer-Reviewed Literature on Grain Legume Species in the WoS (1980–2018): A Comparative Analysis of Soybean and Pulses,ART,10.3390/su11236833,2019,AGIR | INRA | Toulouse INP | Comue de Toulouse | IRIT-IRIS | IRIT | UT Capitole | UT2J | UT3 | CNRS,relatedData_s,True,False
10.15454/BZG0R7,Portail Data Inra,https://data.inra.fr/citation?persistentId=doi:10.15454/BZG0R7,data.inra.fr,Allergy and Grain-Legumes WoS DataSet 1980-2018,2026-09-23T08:42:34Z,2026-09-23T08:42:34Z,relatedData_s,False,hal-02416411,https://hal.science/hal-02416411v1,Peer-Reviewed Literature on Grain Legume Species in the WoS (1980–2018): A Comparative Analysis of Soybean and Pulses,ART,10.3390/su11236833,2019,AGIR | INRA | Toulouse INP | Comue de Toulouse | IRIT-IRIS | IRIT | UT Capitole | UT2J | UT3 | CNRS,relatedData_s,True,False
10.15454/BNKFVC,Portail Data Inra,https://data.inra.fr/citation?persistentId=doi:10.15454/BNKFVC,data.inra.fr,Feeding and Grain-Legumes WoS DataSet 1980-2018,2026-09-23T08:42:34Z,2026-09-23T08:42:34Z,relatedData_s,False,hal-02416411,https://hal.science/hal-02416411v1,Peer-Reviewed Literature on Grain Legume Species in the WoS (1980–2018): A Comparative Analysis of Soybean and Pulses,ART,10.3390/su11236833,2019,AGIR | INRA | Toulouse INP | Comue de Toulouse | IRIT-IRIS | IRIT | UT Capitole | UT2J | UT3 | CNRS,relatedData_s,True,False
10.15454/5MI04S,Portail Data Inra,https://data.inra.fr/citation?persistentId=doi:10.15454/5MI04S,data.inra.fr,Nutrition and Grain-Legumes WoS DataSet 1980-2018,2026-09-23T08:42:34Z,2026-09-23T08:42:34Z,relatedData_s,False,hal-02416411,https://hal.science/hal-02416411v1,Peer-Reviewed Literature on Grain Legume Species in the WoS (1980–2018): A Comparative Analysis of Soybean and Pulses,ART,10.3390/su11236833,2019,AGIR | INRA | Toulouse INP | Comue de Toulouse | IRIT-IRIS | IRIT | UT Capitole | UT2J | UT3 | CNRS,relatedData_s,True,False
10.34847/nkl.9effky97,NAKALA,https://nakala.fr/10.34847/nkl.9effky97,nakala.fr,Sites web militants lesbiens francophones et analyse de la qualité de leur archivage,2026-09-23T08:31:14Z,2026-09-23T08:31:14Z,relatedPublication_s,True,hal-05170289,https://hal.science/hal-05170289v1,Être archiviste et militante ? La construction d'une mémoire lesbienne à partir d'archives du web,COMM,,2022,UB | dat@UBFC | UTBM | SUPMICROTECH - ENSMM | BSB | UBFC | Institut Agro | UMLP,relatedPublication_s,False,True
10.5281/zenodo.15372067,Zenodo,https://zenodo.org/doi/10.5281/zenodo.15372067,zenodo.org,Soundscape analysis scripts,2026-09-22T03:54:38Z,2026-09-22T03:54:38Z,relatedPublication_s,True,hal-05168055,https://univ-rennes.hal.science/hal-05168055v1,Human contributions to global soundscapes are less predictable than the acoustic rhythms of wildlife,ART,10.1038/s41559-025-02786-5,2025,SLU | HTW Dresden | UF | WUSTL | cE3c | ULISBOA | SCU | GU | IMBIV | CONICET,relatedPublication_s,False,True
10.5281/zenodo.15369637,Zenodo,https://zenodo.org/doi/10.5281/zenodo.15369637,zenodo.org,Data for Less predictable global rhythms in human than wildlife contributions to soundscapes,2026-09-22T03:54:38Z,2026-09-22T03:54:38Z,relatedData_s,False,hal-05168055,https://univ-rennes.hal.science/hal-05168055v1,Human contributions to global soundscapes are less predictable than the acoustic rhythms of wildlife,ART,10.1038/s41559-025-02786-5,2025,SLU | HTW Dresden | UF | WUSTL | cE3c | ULISBOA | SCU | GU | IMBIV | CONICET,relatedData_s,True,False
10.34847/nkl.c63e7q0t,NAKALA,https://nakala.fr/10.34847/nkl.c63e7q0t,nakala.fr,"Annexe 2 – Troyes (Aube, Grand Est) : inventaire des occupations et indices d’occupation du Haut-Empire et de l’Antiquité tardive",2026-09-22T03:52:58Z,2026-09-22T03:52:58Z,relatedData_s,False,hal-05376427,https://hal.science/hal-05376427v1,La topographie de Sens et de Troyes durant l’Antiquité tardive,ART,10.4000/15h4c,2025,Inrap | ARTeHiS | MCC | CNRS | UBE | LCE | UMLP,relatedData_s,True,False
10.34847/nkl.b95e19i1,NAKALA,https://nakala.fr/10.34847/nkl.b95e19i1,nakala.fr,"Annexe 1 – Sens (Yonne, France) : liste des occupations et indices d’occupation du Haut-Empire et de l’Antiquité tardive",2026-09-22T03:52:58Z,2026-09-22T03:52:58Z,relatedData_s,False,hal-05376427,https://hal.science/hal-05376427v1,La topographie de Sens et de Troyes durant l’Antiquité tardive,ART,10.4000/15h4c,2025,Inrap | ARTeHiS | MCC | CNRS | UBE | LCE | UMLP,relatedData_s,True,False
10.6084/m9.figshare.8128178.v1,Figshare,https://figshare.com/articles/Quantifying_discretization_errors_for_soft-tissue_simulation_in_computer_assisted_surgery_a_preliminary_study/8128178/1,figshare.com,Quantifying discretization errors for soft-tissue simulation in computer assisted surgery: a preliminary study,2026-09-22T03:51:34Z,2026-09-22T03:51:34Z,relatedPublication_s,True,hal-01616322,https://hal.science/hal-01616322v4,Quantifying discretization errors for soft tissue simulation in computer assisted surgery: a preliminary study,ART,10.1016/j.apm.2019.07.055,2020,MIMESIS | Inria | ICube | ENGEES | UNISTRA | HUS | INSA Strasbourg | INSA | CNRS | MNGE,relatedPublication_s,False,True
10.5061/dryad.6q573n5xr,Dryad,https://datadryad.org/dataset/doi:10.5061/dryad.6q573n5xr,datadryad.org,Analysing landscape effects on dispersal networks and gene flow with genetic graphs,2026-09-22T03:45:34Z,2026-09-22T03:45:34Z,relatedData_s,False,hal-03130628,https://hal.science/hal-03130628v1,Analysing landscape effects on dispersal networks and gene flow with genetic graphs,ART,10.1111/1755-0998.13333,2021,ThéMA | UB | CNRS | UMLP | BGS,relatedData_s,True,False
10.34847/nkl.d59a61c2,NAKALA,https://nakala.fr/10.34847/nkl.d59a61c2,nakala.fr,"Fouille du plateau de Blis 2021, rapport final d'opération",2026-09-22T03:43:54Z,2026-09-22T03:43:54Z,seeAlso_s,True,hal-03599614,https://hal.science/hal-03599614v1,Campagne de fouille 2021 sur le système de fortification de Blis à Eymet (Dordogne),REPORT,10.34847/nkl.d59a61c2,2022,IRAMAT-CRP2A | IRAMAT | UTBM | UO | UBM | CNRS | UB | ARTeHiS | MCC,seeAlso_s,False,True
10.34847/nkl.1b988e6g,NAKALA,https://nakala.fr/10.34847/nkl.1b988e6g,nakala.fr,"Fouille du plateau de Blis 2021, jeu de données",2026-09-22T03:43:54Z,2026-09-22T03:43:54Z,relatedData_s | seeAlso_s,False,hal-03599614,https://hal.science/hal-03599614v1,Campagne de fouille 2021 sur le système de fortification de Blis à Eymet (Dordogne),REPORT,10.34847/nkl.d59a61c2,2022,IRAMAT-CRP2A | IRAMAT | UTBM | UO | UBM | CNRS | UB | ARTeHiS | MCC,relatedData_s,True,False
10.34847/nkl.1b988e6g,NAKALA,https://nakala.fr/10.34847/nkl.1b988e6g,nakala.fr,"Fouille du plateau de Blis 2021, jeu de données",2026-09-22T03:43:54Z,2026-09-22T03:43:54Z,relatedData_s | seeAlso_s,False,hal-03599614,https://hal.science/hal-03599614v1,Campagne de fouille 2021 sur le système de fortification de Blis à Eymet (Dordogne),REPORT,10.34847/nkl.d59a61c2,2022,IRAMAT-CRP2A | IRAMAT | UTBM | UO | UBM | CNRS | UB | ARTeHiS | MCC,seeAlso_s,False,False
10.57745/JYWUIY,Recherche Data Gouv,https://entrepot.recherche.data.gouv.fr/citation?persistentId=doi:10.57745/JYWUIY,entrepot.recherche.data.gouv.fr,Données de l'enquête ADBU sur l'implication des structures documentaires dans l'accompagnement sur les données de recherche,2026-09-22T03:40:11Z,2026-09-22T03:40:11Z,relatedData_s,False,hal-05221870,https://hal.science/hal-05221870v2,Enquête sur l'implication des structures documentaires dans l'accompagnement sur les données de recherche,REPORT,,2025,Comue de Toulouse | ADBU | UBE | dat@UBFC | UTBM | SUPMICROTECH - ENSMM | BSB | Institut Agro | UMLP | UPPA,relatedData_s,True,False
10.57745/DYIVVU,Recherche Data Gouv,https://entrepot.recherche.data.gouv.fr/citation?persistentId=doi:10.57745/DYIVVU,entrepot.recherche.data.gouv.fr,PFSeq: Photorealistic Fisheye Sequence,2026-09-22T03:40:06Z,2026-09-22T03:40:06Z,relatedData_s,False,hal-05492047,https://hal.science/hal-05492047v1,Feature points evaluation on omnidirectional vision with a photorealistic fisheye sequence -- A report on experiments done in 2014,REPORT,,2026,Heudiasyc | UTC | CNRS | COSYS-LEOST | CIAD | UTBM | UBE,relatedData_s,True,False
10.5281/ZENODO.3763766,Zenodo,https://zenodo.org/record/3763766,zenodo.org,"Water table depth dataset collected at Frasne peatland (192ha, Jura Mountains, France)",2026-09-22T03:38:00Z,2026-09-22T03:38:00Z,relatedData_s,False,insu-05295444,https://insu.hal.science/insu-05295444v1,Hydrological and temperature controls on CO2 and CH4 exchange between a mid-altitude mountain peatland and the atmosphere,ART,10.19189/001c.143644,2025,LCE | CNRS | UMLP | UdeM | SNO Karst | INSU - CNRS | LTSER-ZAAJ | RZA | INEE-CNRS | SAS,relatedData_s,True,False
10.5281/ZENODO.3763342,Zenodo,https://zenodo.org/record/3763342,zenodo.org,"Soil-meteorological dataset collected at Frasne peatland (192ha, Jura Mountains, France)",2026-09-22T03:38:00Z,2026-09-22T03:38:00Z,relatedData_s,False,insu-05295444,https://insu.hal.science/insu-05295444v1,Hydrological and temperature controls on CO2 and CH4 exchange between a mid-altitude mountain peatland and the atmosphere,ART,10.19189/001c.143644,2025,LCE | CNRS | UMLP | UdeM | SNO Karst | INSU - CNRS | LTSER-ZAAJ | RZA | INEE-CNRS | SAS,relatedData_s,True,False
10.57745/ESBF7R,Recherche Data Gouv,https://entrepot.recherche.data.gouv.fr/citation?persistentId=doi:10.57745/ESBF7R,entrepot.recherche.data.gouv.fr,Gaussian Splatting Map Registration with Orthographic Bird’s-Eye-View Renderings,2026-09-22T03:34:05Z,2026-09-22T03:34:05Z,relatedData_s,False,hal-05444500,https://inria.hal.science/hal-05444500v1,Gaussian Splatting Map Registration with Orthographic Bird's-Eye-View Renderings,COMM,,2026,TANGRAM | Inria | LORIA - ALGO | LORIA | UL | CNRS | ICB | UTBM | UBE,relatedData_s,True,False
10.17632/zscjbdvr9v.3,Mendeley Data,https://data.mendeley.com/datasets/zscjbdvr9v/3,data.mendeley.com,Parcel Manager Data set,2026-09-22T03:33:17Z,2026-09-22T03:33:17Z,relatedData_s,False,hal-03700820,https://hal.science/hal-03700820v1,Parcel Manager: a parcel reshaping model incorporating design rules of residential development,ART,10.1111/tgis.12970,2022,LaSTIG | EIVP | ENSG | IGN | ThéMA | UB | CNRS | UMLP,relatedData_s,True,False
10.5281/zenodo.16895987,Zenodo,https://zenodo.org/doi/10.5281/zenodo.16895987,zenodo.org,A composite gradient index lens for wideband elastic waves focusing: Design approach and experimental validation at constant thickness,2026-09-22T03:32:14Z,2026-09-22T03:32:14Z,relatedPublication_s,True,hal-05212119,https://hal.science/hal-05212119v1,A composite gradient index lens for wideband elastic waves focusing: Design approach and experimental validation at constant thickness,ART,10.1016/j.compstruct.2025.119500,2025,SYMME | USMB [Université de Savoie] [Université de Chambéry] | FEMTO-ST | UTBM | SUPMICROTECH - ENSMM | CNRS | UMLP | ICB | UBE,relatedPublication_s,False,True
10.6084/m9.figshare.25907659.v2,Figshare,https://figshare.com/articles/dataset/Viniculture_archaeological_and_modern_datasets/25907659/2,figshare.com,Viniculture archaeological and modern datasets,2026-09-22T03:30:42Z,2026-09-22T03:30:42Z,relatedData_s,False,hal-04759332,https://hal.science/hal-04759332v1,Seed morphometrics unravels the evolutionary history of grapevine in France,ART,10.1038/s41598-024-72692-6,2024,UMR ISEM | Cirad | IRD | EPHE | PSL | CNRS | UM | UMR AGAP | INRAE | Institut Agro,relatedData_s,True,False
10.5281/zenodo.8387335,Zenodo,https://zenodo.org/record/8387335,zenodo.org,"Comment on Manna et al. SARS-CoV-2 Inactivation in Aerosol by Means of Radiated Microwaves. Viruses 2023, 15, 1443",2026-09-22T03:29:42Z,2026-09-22T03:29:42Z,relatedPublication_s,True,hal-04248976,https://hal.science/hal-04248976v1,"Comment on Manna et al. SARS-CoV-2 Inactivation in Aerosol by Means of Radiated Microwaves. Viruses 2023, 15, 1443",ART,10.3390/v15102110,2023,IGDORE | iLM - LUMINESCENCE | ILM | UCBL | CNRS | ICB | UTBM | UB | UBFC,relatedPublication_s,False,True
