halId_s,hal_uri,hal_title,hal_docType,publication_doi,laboratories,source_field,expected_field,dataset_doi,repository,landing_url,dataset_title,correction_note
hal-01616322,https://hal.science/hal-01616322v4,Quantifying discretization errors for soft tissue simulation in computer assisted surgery: a preliminary study,ART,10.1016/j.apm.2019.07.055,MIMESIS | Inria | ICube | ENGEES | UNISTRA | HUS | INSA Strasbourg | INSA | CNRS | MNGE,relatedPublication_s,relatedData_s,10.6084/m9.figshare.8128178.v1,Figshare,https://figshare.com/articles/Quantifying_discretization_errors_for_soft-tissue_simulation_in_computer_assisted_surgery_a_preliminary_study/8128178/1,Quantifying discretization errors for soft-tissue simulation in computer assisted surgery: a preliminary study,Dataset DOI found only in relatedPublication_s; expected HAL field is relatedData_s.
hal-03157260,https://hal.inrae.fr/hal-03157260v1,Populations of arable weed species show intra-specific variability in germination base temperature but not in early growth rate,ART,10.1371/journal.pone.0240538,UB | UBFC | INRAE,relatedPublication_s,relatedData_s,10.57745/AJNXEN,Recherche Data Gouv,https://entrepot.recherche.data.gouv.fr/citation?persistentId=doi:10.57745/AJNXEN,CLIMATIK : système d'information pour les données du réseau agroclimatique INRAE,Dataset DOI found only in relatedPublication_s; expected HAL field is relatedData_s.
hal-03599614,https://hal.science/hal-03599614v1,Campagne de fouille 2021 sur le système de fortification de Blis à Eymet (Dordogne),REPORT,10.34847/nkl.d59a61c2,IRAMAT-CRP2A | IRAMAT | UTBM | UO | UBM | CNRS | UB | ARTeHiS | MCC,seeAlso_s,relatedData_s,10.34847/nkl.d59a61c2,NAKALA,https://nakala.fr/10.34847/nkl.d59a61c2,"Fouille du plateau de Blis 2021, rapport final d'opération",Dataset DOI found only in seeAlso_s; expected HAL field is relatedData_s.
hal-03744281,https://hal.inrae.fr/hal-03744281v1,Multi-attribute temporal descriptive methods in sensory analysis applied in food science: Protocol for a scoping review,ART,10.1371/journal.pone.0270969,CSGA | UB | CNRS | INRAE | Institut Agro | UBFC | UCA,relatedPublication_s,relatedData_s,10.57745/JUJRTJ,Recherche Data Gouv,https://entrepot.recherche.data.gouv.fr/citation?persistentId=doi:10.57745/JUJRTJ,Checklist for reporting research involving descriptive sensory evaluation methods,Dataset DOI found only in relatedPublication_s; expected HAL field is relatedData_s.
hal-03829832,https://hal.science/hal-03829832v4,On the space of subgroups of Baumslag-Solitar groups I: perfect kernel and phenotype,ART,10.4171/RMI/1549,KIT | UMPA-ENSL | ENS de Lyon | CNRS | IMB | UBE | LMBP | UCA,relatedPublication_s,relatedData_s,10.5281/zenodo.7225585,Zenodo,https://zenodo.org/record/7225585,"How to build (m,n)-graphs",Dataset DOI found only in relatedPublication_s; expected HAL field is relatedData_s.
hal-03856017,https://ehesp.hal.science/hal-03856017v1,High-spatial resolution epidemic surveillance of bacterial meningitis in the African meningitis belt in Burkina Faso,ART,10.1038/s41598-022-23279-6,ENS-PSL | PSL | EHESP | SU | CNRS | PCC | INC-CNRS | ARENES | UR | UR2,relatedPublication_s,relatedData_s,10.5281/zenodo.4925795,Zenodo,https://zenodo.org/record/4925795,MaximeMaW/MeningitisDynamics: Fixed typos,Dataset DOI found only in relatedPublication_s; expected HAL field is relatedData_s.
hal-03986408,https://hal.inrae.fr/hal-03986408v1,Socioeconomic position and the effect of energy labelling on consumer behaviour: a systematic review and meta-analysis,ART,10.1186/s12966-023-01418-0,CSGA | UB | CNRS | INRAE | Institut Agro | UBFC,relatedPublication_s,relatedData_s,10.17605/OSF.IO/W7RDB,OSF,https://osf.io/w7rdb/,Does the impact of calorie (energy) labelling of food and drink products on consumer behaviour differ by socioeconomic status?,Dataset DOI found only in relatedPublication_s; expected HAL field is relatedData_s.
hal-04248976,https://hal.science/hal-04248976v1,"Comment on Manna et al. SARS-CoV-2 Inactivation in Aerosol by Means of Radiated Microwaves. Viruses 2023, 15, 1443",ART,10.3390/v15102110,IGDORE | iLM - LUMINESCENCE | ILM | UCBL | CNRS | ICB | UTBM | UB | UBFC,relatedPublication_s,relatedData_s,10.5281/zenodo.8387335,Zenodo,https://zenodo.org/record/8387335,"Comment on Manna et al. SARS-CoV-2 Inactivation in Aerosol by Means of Radiated Microwaves. Viruses 2023, 15, 1443",Dataset DOI found only in relatedPublication_s; expected HAL field is relatedData_s.
hal-04266661,https://hal.science/hal-04266661v1,The short-term response of soil microbial communities to digestate application depends on the characteristics of the digestate and soil type,ART,10.1016/j.apsoil.2023.105105,UB | UBFC | INRAE | Institut Agro | UR OPAALE | LEVA | ESA | IPSL | ENS-PSL | PSL,relatedPublication_s,relatedData_s,10.57745/DFGUGB,Recherche Data Gouv,https://entrepot.recherche.data.gouv.fr/citation?persistentId=doi:10.57745/DFGUGB,Impact des digestats de méthanisation sur la qualité biologique des sols : Evaluation d’impact à court terme en conditions contrôlées (Microcosmes),Dataset DOI found only in relatedPublication_s; expected HAL field is relatedData_s.
hal-04612748,https://hal.inrae.fr/hal-04612748v1,Wheat dwarfing reshapes plant and fungal development in arbuscular mycorrhizal symbiosis,ART,10.1007/s00572-024-01150-y,ISYEB | MNHN | EPHE | PSL | SU | CNRS | UA | UB | UBFC | INRAE,relatedPublication_s,relatedData_s,10.57745/R1QHIL,Recherche Data Gouv,,,Dataset DOI found only in relatedPublication_s; expected HAL field is relatedData_s.
hal-04676601,https://hal.inrae.fr/hal-04676601v1,Development and validation of a web application to collect food supply data associated with their nutritional composition and environmental impacts,ART,10.1016/j.mex.2024.102891,CSGA | UB | CNRS | INRAE | Institut Agro | CESAER,relatedPublication_s,relatedData_s,10.57745/GPDV7F,Recherche Data Gouv,https://entrepot.recherche.data.gouv.fr/citation?persistentId=doi:10.57745/GPDV7F,A dataset of food supplies and preferences of French university students,Dataset DOI found only in relatedPublication_s; expected HAL field is relatedData_s.
hal-04948867,https://ube.hal.science/hal-04948867v1,EuPPollNet : a European database of Plant‐Pollinator Networks,ART,10.1111/geb.70000,MLU | iDiv | UFZ | BC3 | UPV / EHU | CEBC | ULR | CNRS | INRAE | LTSER-ZAPVS,relatedPublication_s,relatedData_s,10.5281/zenodo.14747448,Zenodo,https://zenodo.org/doi/10.5281/zenodo.14747448,JoseBSL/EuPPollNet: EuPPollNet: A European database of plant-pollinator networks,Dataset DOI found only in relatedPublication_s; expected HAL field is relatedData_s.
hal-05168055,https://univ-rennes.hal.science/hal-05168055v1,Human contributions to global soundscapes are less predictable than the acoustic rhythms of wildlife,ART,10.1038/s41559-025-02786-5,SLU | HTW Dresden | UF | WUSTL | cE3c | ULISBOA | SCU | GU | IMBIV | CONICET,relatedPublication_s,relatedData_s,10.5281/zenodo.15372067,Zenodo,https://zenodo.org/doi/10.5281/zenodo.15372067,Soundscape analysis scripts,Dataset DOI found only in relatedPublication_s; expected HAL field is relatedData_s.
hal-05170289,https://hal.science/hal-05170289v1,Être archiviste et militante ? La construction d'une mémoire lesbienne à partir d'archives du web,COMM,,UB | dat@UBFC | UTBM | SUPMICROTECH - ENSMM | BSB | UBFC | Institut Agro | UMLP,relatedPublication_s,relatedData_s,10.34847/nkl.9effky97,NAKALA,https://nakala.fr/10.34847/nkl.9effky97,Sites web militants lesbiens francophones et analyse de la qualité de leur archivage,Dataset DOI found only in relatedPublication_s; expected HAL field is relatedData_s.
hal-05212119,https://hal.science/hal-05212119v1,A composite gradient index lens for wideband elastic waves focusing: Design approach and experimental validation at constant thickness,ART,10.1016/j.compstruct.2025.119500,SYMME | USMB [Université de Savoie] [Université de Chambéry] | FEMTO-ST | UTBM | SUPMICROTECH - ENSMM | CNRS | UMLP | ICB | UBE,relatedPublication_s,relatedData_s,10.5281/zenodo.16895987,Zenodo,https://zenodo.org/doi/10.5281/zenodo.16895987,A composite gradient index lens for wideband elastic waves focusing: Design approach and experimental validation at constant thickness,Dataset DOI found only in relatedPublication_s; expected HAL field is relatedData_s.
hal-05409059,https://hal.science/hal-05409059v1,Bilan scientifique annuel : L’habitat de l’âge du Bronze à La Tène ancienne en Hauts-de-France,REPORT,10.34847/nkl.8f0a0nm9,HALMA | CNRS | MC | DAP-DA | Inrap | ARTeHiS | MCC | UB | TRACES | EHESS,relatedPublication_s,relatedData_s,10.34847/nkl.8f0a0nm9,NAKALA,https://nakala.fr/10.34847/nkl.8f0a0nm9,Bilan scientifique 2024 : L’habitat de l’âge du Bronze à La Tène ancienne en Hauts-de-France,Dataset DOI found only in relatedPublication_s; expected HAL field is relatedData_s.
hal-05409059,https://hal.science/hal-05409059v1,Bilan scientifique annuel : L’habitat de l’âge du Bronze à La Tène ancienne en Hauts-de-France,REPORT,10.34847/nkl.8f0a0nm9,HALMA | CNRS | MC | DAP-DA | Inrap | ARTeHiS | MCC | UB | TRACES | EHESS,seeAlso_s,relatedData_s,10.34847/nkl.8f0a0nm9/70868f81bfe0cfeee0dbd086ceb428ad913551e3,NAKALA,,,Dataset DOI found only in seeAlso_s; expected HAL field is relatedData_s.
hal-05446068,https://hal.science/hal-05446068v1,Intensive management negatively impacts field margin ecosystem service indicators at both field and landscape levels,ART,10.1002/eap.70161,LSV Montpellier | LSV | ANSES | UMR CBGP | Cirad | IRD [Occitanie] | IRD | INRAE | Institut Agro | UM,relatedPublication_s,relatedData_s,10.5281/zenodo.13737015,Zenodo,https://zenodo.org/doi/10.5281/zenodo.13737015,leagenty/dataset_Genty_et_al_2025_margin_services: final_version_first_submission_license_added,Dataset DOI found only in relatedPublication_s; expected HAL field is relatedData_s.
hal-05498176,https://cnrs.hal.science/hal-05498176v1,Evaluating and Understanding the Geocoding of City Directories of Paris (1787-1914): Data-Driven Geography of Urban Sprawl and Densification,ART,10.63744/eh2pbu98sxve,ThéMA | CNRS | UMLP | UBE | CRH (UMR 8558 CNRS / EHESS) | EHESS | LRE | EPITA | LaSTIG | EIVP,relatedPublication_s,relatedData_s,10.5281/zenodo.16994482,Zenodo,https://zenodo.org/doi/10.5281/zenodo.16994482,Datasets and code of Evaluating and Understanding the Geocoding of City Directories of Paris (1787-1914),Dataset DOI found only in relatedPublication_s; expected HAL field is relatedData_s.
hal-05594176,https://hal.science/hal-05594176v1,Inventaire des capteurs et protocoles pour le projet BIODICAPT,REPORT,10.5281/zenodo.19609812,CESCO | MNHN | SU | CNRS | DPT SPE | INRAE | IGEPP | UR | Institut Agro | LIVE,relatedPublication_s,relatedData_s,10.5281/zenodo.20523512,Zenodo,https://zenodo.org/doi/10.5281/zenodo.20523512,Inventaire des capteurs et protocoles pour le projet BIODICAPT,Dataset DOI found only in relatedPublication_s; expected HAL field is relatedData_s.
