doi,title,repository,publisher,landing_url,client_id,publication_year,also_on_hal,hal_publications,hal_ids,match_reasons,object_kind
10.15454/dldjvf,"TE-related genes: annotation, characterisation, and expression.",Recherche Data Gouv,Portail Data INRAE,https://data.inrae.fr/citation?persistentId=doi:10.15454/DLDJVF,rdg.prod,2020,True,1,hal-01602779,,dataset_repo
10.15454/dldjvf/0uswoh,genesWithBothTypesOfDomains.minc_v3.txt,Recherche Data Gouv,Portail Data INRAE,https://data.inrae.fr/file.xhtml?persistentId=doi:10.15454/DLDJVF/0USWOH,rdg.prod,2021,False,0,,,dataset_repo
10.15454/dldjvf/24syvk,hmmprofDB.pfam32_GyDB2.hmm,Recherche Data Gouv,Portail Data INRAE,https://data.inrae.fr/file.xhtml?persistentId=doi:10.15454/DLDJVF/24SYVK,rdg.prod,2020,False,0,,,dataset_repo
10.15454/dldjvf/2ldvzf,readme.txt,Recherche Data Gouv,Portail Data INRAE,https://data.inrae.fr/file.xhtml?persistentId=doi:10.15454/DLDJVF/2LDVZF,rdg.prod,2021,False,0,,,dataset_repo
10.15454/dldjvf/3k4msg,hmmprofDB.pfam32_GyDB2.hmm,Recherche Data Gouv,Portail Data INRAE,https://data.inrae.fr/file.xhtml?persistentId=doi:10.15454/DLDJVF/3K4MSG,rdg.prod,2021,False,0,,,dataset_repo
10.15454/dldjvf/91ex8g,get_genes_domains_from_hmmer3_output.py,Recherche Data Gouv,Portail Data INRAE,https://data.inrae.fr/file.xhtml?persistentId=doi:10.15454/DLDJVF/91EX8G,rdg.prod,2020,False,0,,,dataset_repo
10.15454/dldjvf/cnsmwy,TEs_with_genes_inside.more95pctOfGeneSize.tab,Recherche Data Gouv,Portail Data INRAE,https://data.inrae.fr/file.xhtml?persistentId=doi:10.15454/DLDJVF/CNSMWY,rdg.prod,2021,False,0,,,dataset_repo
10.15454/dldjvf/dkuqah,meloidogyne_incognita.v3.2015.faa,Recherche Data Gouv,Portail Data INRAE,https://data.inrae.fr/file.xhtml?persistentId=doi:10.15454/DLDJVF/DKUQAH,rdg.prod,2020,False,0,,,dataset_repo
10.15454/dldjvf/dm6gmz,TEs_with_genes_inside.more95pctOfGeneSize.genesWithAtLeastOneTErelatedDomain.tab,Recherche Data Gouv,Portail Data INRAE,https://data.inrae.fr/file.xhtml?persistentId=doi:10.15454/DLDJVF/DM6GMZ,rdg.prod,2021,False,0,,,dataset_repo
10.15454/dldjvf/fmztmn,genesWithBothTypesOfDomains.minc_v3.txt,Recherche Data Gouv,Portail Data INRAE,https://data.inrae.fr/file.xhtml?persistentId=doi:10.15454/DLDJVF/FMZTMN,rdg.prod,2020,False,0,,,dataset_repo
10.15454/dldjvf/gz0piv,genesWithOnlyTErelatedDomains.minc_v3.txt,Recherche Data Gouv,Portail Data INRAE,https://data.inrae.fr/file.xhtml?persistentId=doi:10.15454/DLDJVF/GZ0PIV,rdg.prod,2020,False,0,,,dataset_repo
10.15454/dldjvf/hoza7i,genesWithoutTErelatedDomains.minc_v3.txt,Recherche Data Gouv,Portail Data INRAE,https://data.inrae.fr/file.xhtml?persistentId=doi:10.15454/DLDJVF/HOZA7I,rdg.prod,2020,False,0,,,dataset_repo
10.15454/dldjvf/jha6rz,minc_v3.genes.sorted.expressionLevels.tab,Recherche Data Gouv,Portail Data INRAE,https://data.inrae.fr/file.xhtml?persistentId=doi:10.15454/DLDJVF/JHA6RZ,rdg.prod,2020,False,0,,,dataset_repo
10.15454/dldjvf/k4a0oi,genes_analysis_workflow.Rmd,Recherche Data Gouv,Portail Data INRAE,https://data.inrae.fr/file.xhtml?persistentId=doi:10.15454/DLDJVF/K4A0OI,rdg.prod,2021,False,0,,,dataset_repo
10.15454/dldjvf/nmzo7g,get_genes_list_from_hmmer_output.py,Recherche Data Gouv,Portail Data INRAE,https://data.inrae.fr/file.xhtml?persistentId=doi:10.15454/DLDJVF/NMZO7G,rdg.prod,2020,False,0,,,dataset_repo
10.15454/dldjvf/shw0z1,get_genes_list_from_hmmer_output.py,Recherche Data Gouv,Portail Data INRAE,https://data.inrae.fr/file.xhtml?persistentId=doi:10.15454/DLDJVF/SHW0Z1,rdg.prod,2021,False,0,,,dataset_repo
10.15454/dldjvf/suh4jw,genesWithoutTErelatedDomains.minc_v3.txt,Recherche Data Gouv,Portail Data INRAE,https://data.inrae.fr/file.xhtml?persistentId=doi:10.15454/DLDJVF/SUH4JW,rdg.prod,2021,False,0,,,dataset_repo
10.15454/dldjvf/tjwdw4,genesWithOnlyTErelatedDomains.minc_v3.txt,Recherche Data Gouv,Portail Data INRAE,https://data.inrae.fr/file.xhtml?persistentId=doi:10.15454/DLDJVF/TJWDW4,rdg.prod,2021,False,0,,,dataset_repo
10.15454/dldjvf/vfxxxo,minc_v3.genes.sorted.bed,Recherche Data Gouv,Portail Data INRAE,https://data.inrae.fr/file.xhtml?persistentId=doi:10.15454/DLDJVF/VFXXXO,rdg.prod,2020,False,0,,,dataset_repo
