halId_s,hal_uri,hal_title,hal_docType,publication_doi,related_raw,related_kind,dataset_doi,repository,object_kind,publisher,landing_url,landing_host,doi_prefix,datacite_client,dataset_title,resolve_error
hal-01552148,https://hal.science/hal-01552148v1,A generic ontological network for Agri-food experiment integration – Application to viticulture and winemaking,ART,10.1016/j.compag.2017.06.020,10.15454/RJKJBN,doi,10.15454/RJKJBN,Recherche Data Gouv,dataset_repo,Portail Data INRAE,https://data.inrae.fr/citation?persistentId=doi:10.15454/RJKJBN,data.inrae.fr,10.15454,rdg.prod,Ontology for Food Processing Experiment,
hal-01552148,https://hal.science/hal-01552148v1,A generic ontological network for Agri-food experiment integration – Application to viticulture and winemaking,ART,10.1016/j.compag.2017.06.020,10.15454/DPBMBW,doi,10.15454/DPBMBW,Recherche Data Gouv,dataset_repo,Portail Data INRAE,https://data.inrae.fr/citation?persistentId=doi:10.15454/DPBMBW,data.inrae.fr,10.15454,rdg.prod,Agri-Food Experiment Ontology,
hal-01602779,https://hal.science/hal-01602779v1,Hybridization and polyploidy enable genomic plasticity without sex in the most devastating plant-parasitic nematodes,ART,10.1371/journal.pgen.1006777,10.15454/DLDJVF,doi,10.15454/DLDJVF,Recherche Data Gouv,dataset_repo,Portail Data INRAE,https://data.inrae.fr/citation?persistentId=doi:10.15454/DLDJVF,data.inrae.fr,10.15454,rdg.prod,"TE-related genes: annotation, characterisation, and expression.",
hal-01633879,https://inria.hal.science/hal-01633879v1,"Two genomes of highly polyphagous lepidopteran pests (Spodoptera frugiperda, Noctuidae) with different host-plant ranges",ART,10.1038/s41598-017-10461-4,10.57745/D4TG2M,doi,10.57745/D4TG2M,Recherche Data Gouv,dataset_repo,Recherche Data Gouv,https://entrepot.recherche.data.gouv.fr/citation?persistentId=doi:10.57745/D4TG2M,entrepot.recherche.data.gouv.fr,10.57745,rdg.prod,Curated sequences of cytochrome P450 from Spodoptera frugiperda corn strain,
hal-01633879,https://inria.hal.science/hal-01633879v1,"Two genomes of highly polyphagous lepidopteran pests (Spodoptera frugiperda, Noctuidae) with different host-plant ranges",ART,10.1038/s41598-017-10461-4,10.57745/XDVEQW,doi,10.57745/XDVEQW,Recherche Data Gouv,dataset_repo,Recherche Data Gouv,https://entrepot.recherche.data.gouv.fr/citation?persistentId=doi:10.57745/XDVEQW,entrepot.recherche.data.gouv.fr,10.57745,rdg.prod,Curated sequences of cytochrome P450 from Spodoptera frugiperda rice strain,
hal-01774729,https://hal.science/hal-01774729v1,"BRC4Env, a network of Biological Resource Centres for research in environmental and agricultural sciences",ART,10.1007/s11356-018-1973-7,10.15454/D3ODJM,doi,10.15454/D3ODJM,Recherche Data Gouv,dataset_repo,Portail Data INRAE,https://data.inrae.fr/citation?persistentId=doi:10.15454/D3ODJM,data.inrae.fr,10.15454,rdg.prod,"Colisa, the collection of ichthyological samples.",
hal-01774729,https://hal.science/hal-01774729v1,"BRC4Env, a network of Biological Resource Centres for research in environmental and agricultural sciences",ART,10.1007/s11356-018-1973-7,10.15454/L7QN45,doi,10.15454/L7QN45,INRAE (prefix 10.15454),other,INRAE,https://www2.dijon.inrae.fr/plateforme_genosol/,www2.dijon.inrae.fr,10.15454,rdg.prod,Soil Microbial Metagenomics Facility,
hal-01774729,https://hal.science/hal-01774729v1,"BRC4Env, a network of Biological Resource Centres for research in environmental and agricultural sciences",ART,10.1007/s11356-018-1973-7,10.15454/AY4LMT,doi,10.15454/AY4LMT,Recherche Data Gouv,dataset_repo,Portail Data INRAE,https://data.inrae.fr/citation?persistentId=doi:10.15454/AY4LMT,data.inrae.fr,10.15454,rdg.prod,BRC “Egg Parasitoids Collection” (EP-Coll),
hal-01774729,https://hal.science/hal-01774729v1,"BRC4Env, a network of Biological Resource Centres for research in environmental and agricultural sciences",ART,10.1007/s11356-018-1973-7,10.15454/UQEMVW,doi,10.15454/UQEMVW,Recherche Data Gouv,dataset_repo,Portail Data Inra,https://carrtel-collection.hub.inrae.fr/,carrtel-collection.hub.inrae.fr,10.15454,rdg.prod,Thonon Culture Collection -TCC- a freshwater microalgae collection,
hal-01774729,https://hal.science/hal-01774729v1,"BRC4Env, a network of Biological Resource Centres for research in environmental and agricultural sciences",ART,10.1007/s11356-018-1973-7,10.15454/TRBJTB,doi,10.15454/TRBJTB,Recherche Data Gouv,dataset_repo,Portail Data INRAE,https://data.inrae.fr/citation?persistentId=doi:10.15454/TRBJTB,data.inrae.fr,10.15454,rdg.prod,"BRC4Env, the Biological Resource Centre for the Environment",
hal-01794665,https://hal.science/hal-01794665v1,A database of the coseismic effects following the 30 October 2016 Norcia earthquake in Central Italy,ART,10.1038/sdata.2018.49,10.1594/PANGAEA.879469,doi,10.1594/PANGAEA.879469,PANGAEA,dataset_repo,PANGAEA,https://doi.pangaea.de/10.1594/PANGAEA.879469,doi.pangaea.de,10.1594,pangaea.repository,"Coseismic surface geological effects following the 30 October 2016 Mw 6.5 earthquake, central Italy",
hal-01889268,https://hal.science/hal-01889268v2,Consumer perception data and scientific arguments about food packaging functionalities for fresh strawberries,ART,10.1016/j.dib.2018.09.034,10.15454/GNBUFH,doi,10.15454/GNBUFH,Recherche Data Gouv,dataset_repo,INRA,https://data.inrae.fr/citation?persistentId=doi:10.15454/GNBUFH,data.inrae.fr,10.15454,rdg.prod,Consumer perception data about food packaging functionalities for fresh strawberries - Consumers’ answers to poll for Wood packaging,
hal-01889268,https://hal.science/hal-01889268v2,Consumer perception data and scientific arguments about food packaging functionalities for fresh strawberries,ART,10.1016/j.dib.2018.09.034,10.15454/UBPOQG,doi,10.15454/UBPOQG,Recherche Data Gouv,dataset_repo,INRA,https://data.inrae.fr/citation?persistentId=doi:10.15454/UBPOQG,data.inrae.fr,10.15454,rdg.prod,Consumer perception data about food packaging functionalities for fresh strawberries - Consumers’ answers to poll for Plastic with plastic film,
hal-01889268,https://hal.science/hal-01889268v2,Consumer perception data and scientific arguments about food packaging functionalities for fresh strawberries,ART,10.1016/j.dib.2018.09.034,10.15454/HKIQFJ,doi,10.15454/HKIQFJ,Recherche Data Gouv,dataset_repo,INRA,https://data.inrae.fr/citation?persistentId=doi:10.15454/HKIQFJ,data.inrae.fr,10.15454,rdg.prod,Consumer perception data about food packaging functionalities for fresh strawberries - Consumers’ answers to poll for Plastic rigid lid,
hal-01889268,https://hal.science/hal-01889268v2,Consumer perception data and scientific arguments about food packaging functionalities for fresh strawberries,ART,10.1016/j.dib.2018.09.034,10.15454/IHVM9P,doi,10.15454/IHVM9P,Recherche Data Gouv,dataset_repo,INRA,https://data.inrae.fr/citation?persistentId=doi:10.15454/IHVM9P,data.inrae.fr,10.15454,rdg.prod,Consumer perception data about food packaging functionalities for fresh strawberries: consumers' answers to poll for Plastic not closed,
