halId_s,hal_uri,hal_title,hal_docType,publication_doi,source_field,expected_field,dataset_doi,repository,landing_url,dataset_title,correction_note
hal-01661608,https://enpc.hal.science/hal-01661608v5,An explicit pseudo-energy conserving time-integration scheme for Hamiltonian dynamics,ART,10.1016/j.cma.2019.01.013,relatedPublication_s,relatedData_s,10.5281/zenodo.3339369,Zenodo,https://zenodo.org/record/3339369,marazzaf/MEMM: Zenodo,Dataset DOI found in relatedPublication_s; expected HAL field is relatedData_s.
hal-02099602,https://inria.hal.science/hal-02099602v1,museval,SOFTWARE,,relatedPublication_s,relatedData_s,10.5281/zenodo.2635786,Zenodo,https://zenodo.org/record/2635786,sigsep/sigsep-mus-eval: Ready for SiSEC 2018,Dataset DOI found in relatedPublication_s; expected HAL field is relatedData_s.
hal-02567829,https://hal.science/hal-02567829v3,The origin of the allometric scaling of lung's ventilation in mammals,ART,10.24072/pci.mcb.100005,relatedPublication_s,relatedData_s,10.5281/zenodo.5112934,Zenodo,https://zenodo.org/record/5112934,Code for The origin of the allometric scaling of lung's ventilation in mammals,Dataset DOI found in relatedPublication_s; expected HAL field is relatedData_s.
hal-02570868,https://hal.science/hal-02570868v4,The hidden side of the Allee effect: correlated demographic traits and extinction risk in experimental populations,UNDEFINED,,relatedPublication_s,relatedData_s,10.5281/zenodo.4650051,Zenodo,https://zenodo.org/record/4650051,The hidden side of the Allee effect - Supplementary Material,Dataset DOI found in relatedPublication_s; expected HAL field is relatedData_s.
hal-02890453,https://hal.science/hal-02890453v1,Towards a sonic ecology of urban life: Ethnography of sound perception in Cairo,ART,10.1080/17458927.2020.1763606,relatedPublication_s,relatedData_s,10.5281/zenodo.3950868,Zenodo,https://zenodo.org/record/3950868,"Hassan #1 binaural recording in Darb al-Ahmar, Cairo (Egypt), 25-10-2011",Dataset DOI found in relatedPublication_s; expected HAL field is relatedData_s.
hal-02890453,https://hal.science/hal-02890453v1,Towards a sonic ecology of urban life: Ethnography of sound perception in Cairo,ART,10.1080/17458927.2020.1763606,relatedPublication_s,relatedData_s,10.5281/zenodo.3950970,Zenodo,https://zenodo.org/record/3950970,"Mona binaural recording in Bashtil, Cairo (Egypt), 26-10-2011",Dataset DOI found in relatedPublication_s; expected HAL field is relatedData_s.
hal-02890453,https://hal.science/hal-02890453v1,Towards a sonic ecology of urban life: Ethnography of sound perception in Cairo,ART,10.1080/17458927.2020.1763606,relatedPublication_s,relatedData_s,10.5281/zenodo.3950847,Zenodo,https://zenodo.org/record/3950847,"Leyla binaural recording in Darb al-Ahmar, Cairo (Egypt), 27-10-2011",Dataset DOI found in relatedPublication_s; expected HAL field is relatedData_s.
hal-02890453,https://hal.science/hal-02890453v1,Towards a sonic ecology of urban life: Ethnography of sound perception in Cairo,ART,10.1080/17458927.2020.1763606,relatedPublication_s,relatedData_s,10.5281/zenodo.3950958,Zenodo,https://zenodo.org/record/3950958,"Hassan #2 Route binaural recording in Duwiqa, Cairo (Egypt), 28-09-2012",Dataset DOI found in relatedPublication_s; expected HAL field is relatedData_s.
hal-02890453,https://hal.science/hal-02890453v1,Towards a sonic ecology of urban life: Ethnography of sound perception in Cairo,ART,10.1080/17458927.2020.1763606,relatedPublication_s,relatedData_s,10.5281/zenodo.3950974,Zenodo,https://zenodo.org/record/3950974,"Salma binaural recording, Wast al-Balad, Cairo (Egypt), 26-09-2012",Dataset DOI found in relatedPublication_s; expected HAL field is relatedData_s.
hal-02890453,https://hal.science/hal-02890453v1,Towards a sonic ecology of urban life: Ethnography of sound perception in Cairo,ART,10.1080/17458927.2020.1763606,relatedPublication_s,relatedData_s,10.5281/zenodo.3950988,Zenodo,https://zenodo.org/record/3950988,"Samir binaural recording in Bashtil, Cairo (Egypt), 28-09-2012",Dataset DOI found in relatedPublication_s; expected HAL field is relatedData_s.
hal-02890453,https://hal.science/hal-02890453v1,Towards a sonic ecology of urban life: Ethnography of sound perception in Cairo,ART,10.1080/17458927.2020.1763606,relatedPublication_s,relatedData_s,10.5281/zenodo.3950998,Zenodo,https://zenodo.org/record/3950998,"Shady binaural recording in Wast al-Balad, Cairo (Egypt), 26-09-2012",Dataset DOI found in relatedPublication_s; expected HAL field is relatedData_s.
