halId_s,hal_uri,hal_title,hal_docType,publication_doi,source_field,expected_field,field_ok,misfiled_dataset_link,related_raw,related_kind,dataset_doi,repository,object_kind,publisher,landing_url,landing_host,doi_prefix,datacite_client,dataset_title,resolve_error,correction_note
hal-00294463,https://hal.science/hal-00294463v1,The role of enzymes in biomineralization processes,COUV,10.1002/9780470986325.ch3,relatedPublication_s,relatedData_s,False,False,10.1002/9780470986325,doi,10.1002/9780470986325,Journal DOI (10.1002),publication_landing,,,,,,,not_found,
hal-00368239,https://hal.science/hal-00368239v1,Changes in the proton-motive force in Escherichia coli in response to external oxidoreduction potential.,ART,,relatedPublication_s,relatedData_s,False,False,10.1046/j.1432-1327.1999.00429.x,doi,10.1046/j.1432-1327.1999.00429.x,DOI prefix 10.1046,unresolved,,,,,,,not_found,
hal-00368239,https://hal.science/hal-00368239v1,Changes in the proton-motive force in Escherichia coli in response to external oxidoreduction potential.,ART,,seeAlso_s,relatedData_s,False,False,http://hal.archives-ouvertes.fr/hal-00368239,url,,,,,,,,,,,
hal-00368239,https://hal.science/hal-00368239v1,Changes in the proton-motive force in Escherichia coli in response to external oxidoreduction potential.,ART,,seeAlso_s,relatedData_s,False,False,http://www.ncbi.nlm.nih.gov/sites/entrez?db=pubmed&term=10336647,url,,,,,,,,,,,
hal-00492369,https://hal.science/hal-00492369v1,Parasites and behaviour,COUV,10.1093/oso/9780199535323.003.0005,relatedPublication_s,relatedData_s,False,False,10.1093/oso/9780199535323.001.0001,doi,10.1093/oso/9780199535323.001.0001,Journal DOI (10.1093),publication_landing,,,,,,,not_found,
hal-00553245,https://hal.science/hal-00553245v1,A simple algorithm for finding short sigma-definite representatives,ART,,relatedPublication_s,relatedData_s,False,False,10.1016/j.jalgebra.2011.09.039,doi,10.1016/j.jalgebra.2011.09.039,Journal DOI (10.1016),publication_landing,,,,,,,not_found,
hal-00698381,https://hal.science/hal-00698381v1,Biogeographical patterns of soil molecular microbial biomass as influenced by soil characteristics and management,ART,10.1111/j.1466-8238.2010.00628.x,relatedData_s,relatedData_s,True,False,10.57745/VLWJ51,doi,10.57745/VLWJ51,Recherche Data Gouv,dataset_repo,Recherche Data Gouv,https://entrepot.recherche.data.gouv.fr/citation?persistentId=doi:10.57745/VLWJ51,entrepot.recherche.data.gouv.fr,10.57745,rdg.prod,RMQS1 molecular microbial biomass,,
hal-01173741,https://hal.science/hal-01173741v1,L'état des sols de France,OUV,,relatedData_s,relatedData_s,True,False,10.15454/QSXKGA,doi,10.15454/QSXKGA,Recherche Data Gouv,dataset_repo,Portail Data INRAE,https://data.inrae.fr/citation?persistentId=doi:10.15454/QSXKGA,data.inrae.fr,10.15454,rdg.prod,"Analyses physico-chimiques des sites du Réseau de Mesures de la Qualité des Sols (RMQS) du territoire métropolitain pour la 1ère campagne (2000-2009), avec coordonnées théoriques",,
hal-01173741,https://hal.science/hal-01173741v1,L'état des sols de France,OUV,,relatedPublication_s,relatedData_s,False,False,hal-01173740,hal_id,,,,,,,,,,,
hal-01186051,https://hal.science/hal-01186051v1,Permian-Triassic extinctions and rediversifications,COUV,10.1007/978-94-017-9633-0_17,relatedPublication_s,relatedData_s,False,False,10.1007/978-94-017-9633-0,doi,10.1007/978-94-017-9633-0,Journal DOI (10.1007),publication_landing,,,,,,,not_found,
