doi,repository,object_kind,publisher,landing_url,landing_host,prefix,client_id,title,error
10.1002/9780470986325,Journal DOI (10.1002),publication_landing,,,,,,,not_found
10.1002/9781119476252,Journal DOI (10.1002),publication_landing,,,,,,,not_found
10.1002/9781119779933,Journal DOI (10.1002),publication_landing,,,,,,,not_found
10.1002/9781119818359,Journal DOI (10.1002),publication_landing,,,,,,,not_found
10.1002/9781119842651,Journal DOI (10.1002),publication_landing,,,,,,,not_found
10.1002/jms.4214,Journal DOI (10.1002),publication_landing,,,,,,,not_found
10.1007/978-3-030-51369-6_38,Journal DOI (10.1007),publication_landing,,,,,,,not_found
10.1007/978-3-031-41921-8,Journal DOI (10.1007),publication_landing,,,,,,,not_found
10.1007/978-3-031-50646-8,Journal DOI (10.1007),publication_landing,,,,,,,not_found
10.1007/978-3-031-61000-4,Journal DOI (10.1007),publication_landing,,,,,,,not_found
10.1007/978-3-032-36033-5,Journal DOI (10.1007),publication_landing,,,,,,,not_found
10.1007/978-3-319-72150-7,Journal DOI (10.1007),publication_landing,,,,,,,not_found
10.1007/978-3-319-75541-0,Journal DOI (10.1007),publication_landing,,,,,,,not_found
10.1007/978-94-017-9633-0,Journal DOI (10.1007),publication_landing,,,,,,,not_found
10.1007/s11159-005-0588-7,Journal DOI (10.1007),publication_landing,,,,,,,not_found
10.1016/j.accpm.2021.100901,Journal DOI (10.1016),publication_landing,,,,,,,not_found
10.1016/j.ando.2018.06.291,Journal DOI (10.1016),publication_landing,,,,,,,not_found
10.1016/j.ando.2018.06.399,Journal DOI (10.1016),publication_landing,,,,,,,not_found
10.1016/j.dib.2020.105890,Journal DOI (10.1016),publication_landing,,,,,,,not_found
10.1016/j.jalgebra.2011.09.039,Journal DOI (10.1016),publication_landing,,,,,,,not_found
10.1017/9781782049081.037,Journal DOI (10.1017),publication_landing,,,,,,,not_found
10.1021/acs.nanolett.5b02056,DOI prefix 10.1021,unresolved,,,,,,,not_found
10.1038/s41467-019-09415-3,Journal DOI (10.1038),publication_landing,,,,,,,not_found
10.1046/j.1432-1327.1999.00429.x,DOI prefix 10.1046,unresolved,,,,,,,not_found
10.1093/jxb/erz114,Journal DOI (10.1093),publication_landing,,,,,,,not_found
10.1093/oso/9780199535323.001.0001,Journal DOI (10.1093),publication_landing,,,,,,,not_found
10.1093/oxfordhb/9780198804123.001.0001,Journal DOI (10.1093),publication_landing,,,,,,,not_found
10.1109/SII59315.2025,Journal DOI (10.1109),publication_landing,,,,,,,not_found
10.1109/SII59315.2025.10870926,Journal DOI (10.1109),publication_landing,,,,,,,not_found
10.1111/2041-210X.13316,DOI prefix 10.1111,unresolved,,,,,,,not_found
10.1111/joss.70023,DOI prefix 10.1111,unresolved,,,,,,,not_found
10.1128/spectrum.00336-24,DOI prefix 10.1128,unresolved,,,,,,,not_found
10.13144/lil-0167,Progedo-Adisp,dataset_repo,Progedo-Adisp,https://data.progedo.fr/studies/doi/10.13144/lil-0167,data.progedo.fr,10.13144,inist.adisp,Génération 1998 - Interrogation à 3 ans - 2001,
