halId_s,uri_s,title_s,doiId_s,retrieved_at,modifiedDate_tdate,laboratories,code_repositories,swhids,swh_browse_urls,related_publications,programming_languages,hal_file
hal-05127963,https://hal.science/hal-05127963v1,Greening Scenarios for Urban Parcels,,2026-09-22T03:33:17Z,2026-09-22T03:33:17Z,LEEISA | IFREMER | UG | CNRS | MSH Dijon (MSHD) | UB | UBFC | ThéMA | UMLP | CRC,https://gitlab.in2p3.fr/JulienPergaud/urban-greening-scenarios-application.git,swh:1:dir:425390dcfea364b77992e78a55488ea22af9aa88;origin=https://gitlab.in2p3.fr/JulienPergaud/urban-greening-scenarios-application;visit=swh:1:snp:ce3cf1b12036df8fc9c1549d161d39169862d840;anchor=swh:1:rev:1f74f605c6e3cd43f9dca61d649cc0d831f918de,https://archive.softwareheritage.org/browse/swh:1:dir:425390dcfea364b77992e78a55488ea22af9aa88,,Python,
hal-04543960,https://hal.science/hal-04543960v1,dat@UBFC,,2026-09-22T03:26:28Z,2026-09-22T03:26:28Z,OSU-THETA | INSU - CNRS | UB | CNRS | UMLP | dat@UBFC | UTBM | SUPMICROTECH - ENSMM | BSB | UBFC,https://gitlab.in2p3.fr/teaminfoubfc/dataubfc.git,swh:1:dir:24d38f69885cbc71c7d7282a2a59ecec120575dd;origin=https://gitlab.in2p3.fr/teaminfoubfc/dataubfc;visit=swh:1:snp:2c5dd487b1c4f4787140f2e0d31e7598e92b59e5;anchor=swh:1:rev:495db2f82b290e86d5f719cfbbb2324857d2ba15,https://archive.softwareheritage.org/browse/swh:1:dir:24d38f69885cbc71c7d7282a2a59ecec120575dd,,PHP | postgresql | javascript | css3 | html5 | bootstrap,
hal-05733705,https://hal.inrae.fr/hal-05733705v1,Datagrosyst : Scripts de traitement des données issues d'Agrosyst,10.57745/CCG8OO,2026-09-16T03:19:05Z,2026-09-16T03:19:05Z,INRAE | Institut Agro | UBE,https://github.com/beren2/catalogue_script_agrosyst,swh:1:dir:0877ea11e72cc7799dc31594ccaa7f076127754a;origin=https://hal.archives-ouvertes.fr/hal-05733705;visit=swh:1:snp:1458de44c214a2840f8d538db19e8b5445d54024;anchor=swh:1:rel:52acb9c93f724ef0551f02fa7b5ceb4b266c2655;path=/,https://archive.softwareheritage.org/browse/swh:1:dir:0877ea11e72cc7799dc31594ccaa7f076127754a,,Python | SQL,https://hal.inrae.fr/hal-05733705/document
hal-02822928,https://hal.inrae.fr/hal-02822928v1,Ecomic RMQS : Interface de consultation des données du projet ANR ECOMIC-RMQS,,2026-09-02T13:24:37Z,2026-09-02T13:24:37Z,InfoSol | INRA | FLAVIC | ENESAD | UB,,,,,PHP,
hal-02833641,https://hal.inrae.fr/hal-02833641v1,Base de données des sols de la Saône-et-Loire,,2026-09-02T13:24:28Z,2026-09-02T13:24:28Z,InfoSol | INRA | FLAVIC | ENESAD | UB,,,,,,
hal-02800677,https://hal.inrae.fr/hal-02800677v1,Système d'Information Agrosyst,,2026-09-02T13:24:21Z,2026-09-02T13:24:21Z,InfoSol | INRA | UB,,,,,Java,https://hal.inrae.fr/hal-02800677/document
hal-02818492,https://hal.inrae.fr/hal-02818492v1,Ressources génétiques microbiennes des sols (Plateforme GenoSol),,2026-07-28T14:22:17Z,2026-07-28T14:22:17Z,INRA | UB,,,,,,
hal-04907384,https://hal.science/hal-04907384v1,"cotcot: conditions of order two, conjugate times",10.5281/zenodo.14722043,2026-07-08T16:28:04Z,2026-07-08T16:28:04Z,LJAD | UNS | CNRS | UniCA | McTAO | Inria | IMB | UBE | LJLL (UMR_7598) | SU,,swh:1:dir:c02953bfb701d30f057c26e9619233821e63ecb9;origin=https://hal.archives-ouvertes.fr/hal-04907384;visit=swh:1:snp:8b88eae872d72a9c460aee25a3a93e4a842a4934;anchor=swh:1:rel:0573b1654a52251014b1a50c89054f2c597c2657;path=/,https://archive.softwareheritage.org/browse/swh:1:dir:c02953bfb701d30f057c26e9619233821e63ecb9,,,
hal-02787140,https://hal.inrae.fr/hal-02787140v1,Paquet VLE pour les modèles de cultures AZODYN,,2026-05-20T08:28:36Z,2026-05-20T08:28:36Z,MIAT INRA | INRA | UB | UBFC,,,,,,
hal-04589525,https://hal.science/hal-04589525v1,EPoMAB. European Bronze Age solid-hilted swords database,10.5281/zenodo.10913139,2026-05-05T15:52:52Z,2026-05-05T15:52:52Z,UGent | ARTeHiS | MCC | UB | CNRS,https://github.com/lodumont/EPoMAB,,,tel-03815132,R,https://hal.science/hal-04589525/document
hal-04601100,https://hal.inrae.fr/hal-04601100v1,hubeau: an R package for the Hub'Eau APIs. Manual of the R package version 0.5.0,10.57745/XKN6NC,2026-04-08T14:59:27Z,2026-04-08T14:59:27Z,UMR G-EAU | Cirad | BRGM | IRD | INRAE | Institut Agro | OFB - DR BZH | OFB | SEINORMIGR | UB,,,,,,https://hal.inrae.fr/hal-04601100/document
hal-05530445,https://hal.science/hal-05530445v1,Enquête administrative,,2026-03-13T03:11:44Z,2026-03-13T03:11:44Z,CREDESPO | UBE,https://github.com/mathevetlouis-cyber/enquete-administrative.git,swh:1:dir:ebff935d20fe99b55125d6c6226a4e05380d70fb;origin=https://hal.archives-ouvertes.fr/hal-05530445;visit=swh:1:snp:ee9c39b88811fd8ca4a8717a3f690488fe91f5f4;anchor=swh:1:rel:141e07d9274a2c0257147d1c3fd0650e08d1956b;path=/,https://archive.softwareheritage.org/browse/swh:1:dir:ebff935d20fe99b55125d6c6226a4e05380d70fb,,,https://hal.science/hal-05530445/document
